"","AU","TI","SO","JI","DE","DT2","TC","CR","DI","PP","PU","PY","UT","U2","GA","AU_UN","AU1_UN","SR_FULL","SR"
"WILLEMSE EJ, 2019, COMPUT OPER RES","WILLEMSE EJ;JOUBERT JW","EFFICIENT LOCAL SEARCH STRATEGIES FOR THE MIXED CAPACITATED ARC ROUTING PROBLEMS UNDER TIME RESTRICTIONS WITH INTERMEDIATE FACILITIES","COMPUTERS \& OPERATIONS RESEARCH","COMPUT. OPER. RES.","WASTE MANAGEMENT; CAPACITATED ARC ROUTING PROBLEM; MIXED NETWORK; INTERMEDIATE FACILITIES; TIME RESTRICTIONS; LOCAL SEARCH","ARTICLE","0","BELENGUER JM, 2006, COMPUT OPER RES, V33, P3363, DOI 10.1016/J.COR.2005.02.009.;BEULLENS P, 2003, EUR J OPER RES, V147, P629, DOI 10.1016/S0377-2217(02)00334-X.;MOURAO MC, 2017, NETWORKS, V70, P144, DOI 10.1002/NET.21762.;CHEN YN, 2018, EUR J OPER RES, V264, P55, DOI 10.1016/J.EJOR.2017.06.025.;CHEN YN, 2016, EUR J OPER RES, V253, P25, DOI 10.1016/J.EJOR.2016.02.015.;CORBERAN A, 2015, ARC ROUTING PROBLEMS, V20.;CORBERAN A, 2010, NETWORKS, V56, P50, DOI 10.1002/NET.20347.;COUTINHO-RODRIGUES J, 1993, BELGIAN J OPER RES S, V33, P2.;DELL'AMICO M, 2016, TRANSPORT SCI, V50, P1223, DOI 10.1287/TRSC.2015.0660.;DROR M., 2000, ARC ROUTING THEORY S.;ERGUN O, 2006, J HEURISTICS, V12, P115, DOI 10.1007/S10732-006-5561-5.;GHIANI G., 2004, J MATH MODELLING ALG, V3, P209, DOI [10.1023/B:JMMA.0000038618.37710.F8., DOI 10.1023/B:JMMA.0000038618.37710.F8].;GOLDEN BL, 1981, NETWORKS, V11, P305, DOI 10.1002/NET.3230110308.;GOUVEIA L, 2010, COMPUT OPER RES, V37, P692, DOI 10.1016/J.COR.2009.06.018.;IRNICH S, 2006, COMPUT OPER RES, V33, P2405, DOI 10.1016/J.COR.2005.02.020.;LACOMME P, 2004, ANN OPER RES, V131, P159, DOI 10.1023/B:ANOR.0000039517.35989.6D.;LENSTRA J. K, 2003, LOCAL SEARCH COMBINA.;MUYLDERMANS L, 2014, MOS-SIAM SER OPTIMIZ, V20, P223.;PRINS C, 2014, MOS-SIAM SER OPTIMIZ, V20, P131.;SANTOS L, 2010, TRANSPORT RES B-METH, V44, P246, DOI 10.1016/J.TRB.2009.07.004.;TALBI E.-G., 2009, METAHEURISTICS DESIG.;VIDAL T, 2017, OPER RES, V65, P992, DOI 10.1287/OPRE.2017.1595.;WILLEMSE E. J, 2016, THESIS.;WILLEMSE E. J, 2016, MENDELEY DATA, V3, DOI [10.17632/9X4VD92RCJ.3, DOI 10.17632/9X4VD92RCJ.3].;WILLEMSE EJ, 2016, OPER RES LETT, V44, P569, DOI 10.1016/J.ORL.2016.06.001.;WILLEMSE EJ, 2016, DATA BRIEF, V8, P972, DOI 10.1016/J.DIB.2016.06.067.;WILLEMSE EJ, 2016, COMPUT OPER RES, V68, P30, DOI 10.1016/J.COR.2015.10.010.;ZACHARIADIS EE, 2010, COMPUT OPER RES, V37, P2089, DOI 10.1016/J.COR.2010.02.009.","10.1016/J.COR.2019.02.002","203-225","PERGAMON-ELSEVIER SCIENCE LTD","2019","ISI000460716300015","1","HO2BL","UNIV PRETORIA","UNIV PRETORIA","WILLEMSE EJ, 2019, COMPUT OPER RES","WILLEMSE EJ, 2019, COMPUT OPER RES"
"ARAKAKI RK, 2019, COMPUT OPER RES","ARAKAKI RK;USBERTI FL","AN EFFICIENCY-BASED PATH-SCANNING HEURISTIC FOR THE CAPACITATED ARC ROUTING PROBLEM","COMPUTERS \& OPERATIONS RESEARCH","COMPUT. OPER. RES.","CAPACITATED ARC ROUTING PROBLEM; CONSTRUCTIVE HEURISTIC; PATH-SCANNING","ARTICLE","0","AFSAR H. M., 2010, ELECT NOTES DISCRETE, V36, P319.;ARAKAKI RK, 2018, COMPUT OPER RES, V90, P221, DOI 10.1016/J.COR.2017.09.020.;BELENGUER JM, 2006, COMPUT OPER RES, V33, P3363, DOI 10.1016/J.COR.2005.02.009.;BENAVENT E, 1992, NETWORKS, V22, P669, DOI 10.1002/NET.3230220706.;BEULLENS P, 2003, EUR J OPER RES, V147, P629, DOI 10.1016/S0377-2217(02)00334-X.;BODE C, 2014, EUR J OPER RES, V238, P415, DOI 10.1016/J.EJOR.2014.04.004.;BOSCO A, 2013, OPTIM LETT, V7, P1451, DOI 10.1007/S11590-012-0552-Y.;BRANDAO J, 2008, COMPUT OPER RES, V35, P1112, DOI 10.1016/J.COR.2006.07.007.;MOURAO MC, 2017, NETWORKS, V70, P144, DOI 10.1002/NET.21762.;CHAPLEAU L, 1984, OPER RES LETT, V3, P95, DOI 10.1016/0167-6377(84)90049-X.;CHEN YN, 2016, EUR J OPER RES, V253, P25, DOI 10.1016/J.EJOR.2016.02.015.;DEZSO B, 2011, ELECTRON NOTES THEOR, V264, P23, DOI 10.1016/J.ENTCS.2011.06.003.;DOLAN ED, 2002, MATH PROGRAM, V91, P201, DOI 10.1007/S101070100263.;EGLESE R, 2014, MOS-SIAM SER OPTIMIZ, V20, P303.;EYDI A, 2012, J IND SYST ENG, V5, P208.;FU H, 2010, P IEEE VTC2010 SPRIN, P1.;GHIANI G, 2014, MOS-SIAM SER OPTIMIZ, V20, P351.;GOLDEN BL, 1983, COMPUT OPER RES, V10, P47, DOI 10.1016/0305-0548(83)90026-6.;GOLDEN BL, 1981, NETWORKS, V11, P305, DOI 10.1002/NET.3230110308.;GRANDINETTI L, 2012, COMPUT OPER RES, V39, P2300, DOI 10.1016/J.COR.2011.12.009.;LACOMME P, 2004, ANN OPER RES, V131, P159, DOI 10.1023/B:ANOR.0000039517.35989.6D.;LI LYO, 1996, J OPER RES SOC, V47, P217, DOI 10.1057/JORS.1996.20.;LIU G, 2014, CAN J CIVIL ENG, V41, P667, DOI [10.1139/CJCE-2013-0409, 10.1139/CJCE-2013.0409].;BELENGUER JM, 2014, MOS-SIAM SER OPTIMIZ, V20, P183.;MUYLDERMANS L, 2014, MOS-SIAM SER OPTIMIZ, V20, P223.;PEARN WL, 1991, COMPUT OPER RES, V18, P189, DOI 10.1016/0305-0548(91)90089-A.;PEARN WL, 1989, COMPUT OPER RES, V16, P589, DOI 10.1016/0305-0548(89)90044-0.;POLACEK M, 2008, J HEURISTICS, V14, P405, DOI 10.1007/S10732-007-9050-2.;PRINS C, 2009, INT J PROD RES, V47, P507, DOI 10.1080/00207540802426599.;PRINS C, 2014, MOS-SIAM SER OPTIMIZ, V20, P131.;SANTOS L, 2010, TRANSPORT RES B-METH, V44, P246, DOI 10.1016/J.TRB.2009.07.004.;SANTOS L, 2009, COMPUT OPER RES, V36, P2632, DOI 10.1016/J.COR.2008.11.005.;SHANG RH, 2016, SOFT COMPUT, V20, P2177, DOI 10.1007/S00500-015-1634-4.;TANG K, 2009, IEEE T EVOLUT COMPUT, V13, P1151, DOI 10.1109/TEVC.2009.2023449.;TOTH P, 2014, MOS-SIAM SER OPTIMIZ, P1.;ULUSOY G, 1985, EUR J OPER RES, V22, P329, DOI 10.1016/0377-2217(85)90252-8.;USBERTI FL, 2013, COMPUT OPER RES, V40, P3206, DOI 10.1016/J.COR.2011.10.014.;USBERTI FL, 2011, COMPUT OPER RES, V38, P1543, DOI 10.1016/J.COR.2011.01.012.;VANSTEENWEGEN P, 2010, COMPUT OPER RES, V37, P1870, DOI 10.1016/J.COR.2009.05.006.;WOHLK S., 2005, THESIS.;ZHANG YZ, 2017, APPL SOFT COMPUT, V52, P1130, DOI 10.1016/J.ASOC.2016.09.017.","10.1016/J.COR.2018.11.018","288-295","PERGAMON-ELSEVIER SCIENCE LTD","2019","ISI000456757000022","2","HI9EB","UNIV ESTADUAL CAMPINAS","UNIV ESTADUAL CAMPINAS","ARAKAKI RK, 2019, COMPUT OPER RES","ARAKAKI RK, 2019, COMPUT OPER RES"
"DE ARMAS J, 2019, ANN OPER RES","DE ARMAS J;KEENAN P;JUAN AA;MCGARRAGHY S","SOLVING LARGE-SCALE TIME CAPACITATED ARC ROUTING PROBLEMS: FROM REAL-TIME HEURISTICS TO METAHEURISTICS","ANNALS OF OPERATIONS RESEARCH","ANN. OPER. RES.","CAPACITATED ARC ROUTING PROBLEM; TIME-BASED CAPACITIES; BIASED RANDOMISATION; SIMULATED ANNEALING; METAHEURISTICS","ARTICLE","0","AARTS E., 2005, SEARCH METHODOLOGIES, P187, DOI [10.1007/0-387-28356-07, DOI 10.1007/0-387-28356-07].;AHR D, 2014, MOS-SIAM SER OPTIMIZ, V20, P159.;AMBERG A, 2000, EUR J OPER RES, V124, P360, DOI 10.1016/S0377-2217(99)00170-8.;AMINU UF, 2006, COMPUT OPER RES, V33, P3423, DOI 10.1016/J.COR.2005.02.012.;BALDACCI R, 2006, NETWORKS, V47, P52, DOI [10.1002/NET.20091, 10.1002/NET.20091].;BARTOLINI E, 2013, OPER RES, V61, P315, DOI 10.1287/OPRE.1120.1154.;BELENGUER JM, 2003, COMPUT OPER RES, V30, P705, DOI 10.1016/S0305-0548(02)00046-1.;BENAVENT E, 1992, NETWORKS, V22, P669, DOI 10.1002/NET.3230220706.;BEULLENS P, 2003, EUR J OPER RES, V147, P629, DOI 10.1016/S0377-2217(02)00334-X.;BODE C, 2015, TRANSPORT SCI, V49, P369, DOI 10.1287/TRSC.2013.0507.;BODIN L.D, 1974, NETWORKS, V4, P65, DOI DOI 10.1002/NET.3230040106.;BRANDAO J, 2008, COMPUT OPER RES, V35, P1112, DOI 10.1016/J.COR.2006.07.007.;CACERES-CRUZ J, 2015, ACM COMPUT SURV, V47, DOI 10.1145/2666003.;MOURAO MC, 2017, NETWORKS, V70, P144, DOI 10.1002/NET.21762.;CHEN YN, 2016, EUR J OPER RES, V253, P25, DOI 10.1016/J.EJOR.2016.02.015.;CLARKE G, 1964, OPER RES, V12, P568, DOI 10.1287/OPRE.12.4.568.;CORBERAN A, 2014, ARC ROUTING PROBLEMS.;CORBERAN A, 2010, NETWORKS, V56, P50, DOI 10.1002/NET.20347.;DOERNER K., 2003, 5 MET HEUR INT C KYO.;DROR M., 2000, ARC ROUTING THEORY S.;EGLESE RW, 1994, DISCRETE APPL MATH, V48, P231, DOI 10.1016/0166-218X(92)00003-5.;EGLESE RW, 2000, POLYHEDRAL THEORY AR, P199.;EISELT HA, 1995, OPER RES, V43, P231, DOI 10.1287/OPRE.43.2.231.;EISELT HA, 1995, OPER RES, V43, P399, DOI 10.1287/OPRE.43.3.399.;FAULIN J, 2008, 2008 WINTER SIMULATION CONFERENCE, VOLS 1-5, P2708, DOI 10.1109/WSC.2008.4736388.;FLOYD RW, 1962, COMMUN ACM, V5, P345, DOI 10.1145/367766.368168.;GOLDEN BL, 1983, COMPUT OPER RES, V10, P47, DOI 10.1016/0305-0548(83)90026-6.;GOLDEN B, 2008, OPER RES COMPUT SCI, V43, PV.;GONZALEZ-MARTIN S, 2012, AI COMMUN, V25, P173, DOI 10.3233/AIC-2012-0522.;GRASAS A, 2017, COMPUT IND ENG, V110, P216, DOI 10.1016/J.CIE.2017.06.019.;GREISTORFER P, 2003, COMPUT IND ENG, V44, P249, DOI 10.1016/S0360-8352(02)00178-X.;GROVES G., 2004, INTERNATIONAL TRANSACTIONS IN OPERATIONAL RESEARCH, V11, P613, DOI 10.1111/J.1475-3995.2004.00481.X.;GUAN M.-K., 1962, CHINESE MATH, V1, P273.;HASLE G, 2014, MOS-SIAM SER OPTIMIZ, V20, P371.;HERTZ A, 2000, OPER RES, V48, P129, DOI 10.1287/OPRE.48.1.129.12455.;HERTZ A, 2001, TRANSPORT SCI, V35, P425, DOI 10.1287/TRSC.35.4.425.10431.;HERTZ A, 2005, RECENT TRENDS ARC RO, P215.;HIRABAYASHI R, 1992, ASIA PAC J OPER RES, V9, P155.;HIRABAYASHI R., 1992, J OPERATIONS RES SOC, V35, P119, DOI DOI 10.15807/JORSJ.35.119.;IRNICH S, 2008, EUR J OPER RES, V190, P52, DOI 10.1016/J.EJOR.2007.06.002.;JUAN AA, 2014, INT T OPER RES, V21, P103, DOI 10.1111/ITOR.12028.;JUAN AA, 2013, TOP, V21, P109, DOI 10.1007/S11750-011-0245-1.;JUAN AA, 2013, ANN OPER RES, V207, P43, DOI 10.1007/S10479-011-0918-Z.;KEENAN P., 1996, SYSTEM MODELLING OPT, P599.;KEENAN P. B, 2001, THESIS.;KEENAN P. B, 2005, TECHNICAL REPORT.;KIRKPATRICK S, 1983, SCIENCE, V220, P671, DOI 10.1126/SCIENCE.220.4598.671.;KIRLIK G, 2012, COMPUT OPER RES, V39, P2380, DOI 10.1016/J.COR.2011.12.008.;LACOMME P, 2004, ANN OPER RES, V131, P159, DOI 10.1023/B:ANOR.0000039517.35989.6D.;LACOMME P, 2001, LECT NOTES COMPUT SC, V2037, P473.;LETCHFORD AN, 2009, COMPUT OPER RES, V36, P2320, DOI 10.1016/J.COR.2008.09.008.;LI L, 1992, THESIS.;LI LYO, 1996, J OPER RES SOC, V47, P217, DOI 10.1057/JORS.1996.20.;LIN YX, 1988, COMPUT OPER RES, V15, P577, DOI 10.1016/0305-0548(88)90053-6.;LIU TT, 2013, INT J PROD RES, V51, P3075, DOI 10.1080/00207543.2012.753165.;LONGO H, 2006, COMPUT OPER RES, V33, P1823, DOI 10.1016/J.COR.2004.11.020.;BELENGUER JM, 2014, MOS-SIAM SER OPTIMIZ, V20, P183.;MARZOLF F, 2006, COMPUT OPER RES, V33, P3494, DOI 10.1016/J.COR.2005.02.040.;NOURANI Y, 1998, J PHYS A-MATH GEN, V31, P8373, DOI 10.1088/0305-4470/31/41/011.;PEARN WL, 1987, COMPUT OPER RES, V14, P285, DOI 10.1016/0305-0548(87)90065-7.;PEARN WL, 1991, COMPUT OPER RES, V18, P189, DOI 10.1016/0305-0548(91)90089-A.;PEARN WL, 1989, COMPUT OPER RES, V16, P589, DOI 10.1016/0305-0548(89)90044-0.;PEARN WL, 1988, NETWORKS, V18, P181, DOI 10.1002/NET.3230180305.;PRINS C, 2014, MOS-SIAM SER OPTIMIZ, V20, P131.;SHAW P, 1997, NEW LOCAL SEARCH ALG.;STERN HI, 1979, COMPUT OPER RES, V6, P209, DOI 10.1016/0305-0548(79)90005-4.;TAGMOUTI M, 2011, TRANSPORT RES C-EMER, V19, P20, DOI 10.1016/J.TRC.2010.02.003.;USBERTI FL, 2013, COMPUT OPER RES, V40, P3206, DOI 10.1016/J.COR.2011.10.014.;VANSTEENWEGEN P, 2010, COMPUT OPER RES, V37, P1870, DOI 10.1016/J.COR.2009.05.006.;VIDAL T, 2017, OPER RES, V65, P992, DOI 10.1287/OPRE.2017.1595.;WELZ S. A., 1994, THESIS.;WILLEMSE EJ, 2012, J OPER RES SOC, V63, P245, DOI 10.1057/JORS.2011.26.;WIN Z, 1988, THESIS.;WOHLK S., 2008, OPEN OPERATIONAL RES, V2, P8.;WOHLK S., 2005, THESIS.;WOHLK S, 2006, COMPUT OPER RES, V33, P3458, DOI 10.1016/J.COR.2005.02.015.;WOHLK S, 2008, OPER RES COMPUT SCI, V43, P29, DOI 10.1007/978-0-387-77778-8\_2.","10.1007/S10479-018-2777-3","135-162","SPRINGER","2019","ISI000456384300005","6","HI3XH","UNIV POMPEU FABRA;UNIV COLL DUBLIN;OPEN UNIV CATALONIA","OPEN UNIV CATALONIA","DE ARMAS J, 2019, ANN OPER RES","DE ARMAS J, 2019, ANN OPER RES"
"TFAILI S, 2019, RAIRO-OPER RES","TFAILI S;DKHIL H;SBIHI A;YASSINE A","EFFICIENT ALGORITHMS UNDER DYNAMIC GRAPHS TO SOLVE THE CAPACITATED ARC ROUTING PROBLEM WITH FEASIBLE SPARSE GRAPH","RAIRO-OPERATIONS RESEARCH","RAIRO-OPER. RES.","ROUTING PROBLEMS; GRAPH THEORY; SPARSITY; TABU SEARCH","ARTICLE","0","ASSAD A., 1995, HDBK OPER R, V8, P375.;BEASLEY JE, 1997, EUR J OPER RES, V98, P499, DOI 10.1016/S0377-2217(96)00048-3.;BELENGUER JM, 2006, COMPUT OPER RES, V33, P3363, DOI 10.1016/J.COR.2005.02.009.;BELENGUER JM, 2003, COMPUT OPER RES, V30, P705, DOI 10.1016/S0305-0548(02)00046-1.;BELENGUER JM, 1998, COMPUT OPTIM APPL, V10, P165, DOI 10.1023/A:1018316919294.;BODE C, 2012, OPER RES, V60, P1167, DOI 10.1287/OPRE.1120.1079.;CORBERAN A, 2002, EUR J OPER RES, V142, P70, DOI 10.1016/S0377-2217(01)00296-X.;CORBERAN A, 1998, EUR J OPER RES, V108, P538, DOI 10.1016/S0377-2217(96)00337-2.;CORBERAN A, 2001, MATH PROGRAM, V90, P291, DOI 10.1007/PL00011426.;DANTZIG GB, 1959, MANAGE SCI, V6, P80, DOI 10.1287/MNSC.6.1.80.;DEMETRESCU C., 2004, HDB DATA STRUCTURES.;DEMETRESCU C., 2003, HDB GRAPH THEORY, P985.;DROR M., 2000, ARC ROUTING THEORY S.;EISELT H. A., 2000, ARC ROUTING THEORY S, P1.;FEKETE Z., 2005, EGRERVARY RES GROUP.;FOULDS L, 2015, ANN OPER RES, V226, P177, DOI 10.1007/S10479-014-1732-1.;GHIANI G, 2000, MATH PROGRAM, V87, P467, DOI 10.1007/S101070050007.;GHIANI G, 2005, COMPUT OPER RES, V32, P219, DOI 10.1016/S0305-0548(03)00213-2.;GLOVER F, 1986, COMPUT OPER RES, V13, P533, DOI 10.1016/0305-0548(86)90048-1.;GOLDEN BL, 1981, NETWORKS, V11, P305, DOI 10.1002/NET.3230110308.;GOMEZ-CABRERO D., 2005, ORP3VALENCIA SPAIN.;GROSS JL, 2006, GRAPH THEORY ITS APP.;GUTIN G., 2006, TRAVELING SALESMAN P.;HANSEN P., 1986, C NUM METH COMB OPT.;HERTZ A, 2000, OPER RES, V48, P129, DOI 10.1287/OPRE.48.1.129.12455.;KANSOU ALI, 2010, INTERNATIONAL JOURNAL OF METAHEURISTICS, V1, P81, DOI 10.1504/IJMHEUR.2010.033124.;KANSOU A, 2009, CIE: 2009 INTERNATIONAL CONFERENCE ON COMPUTERS AND INDUSTRIAL ENGINEERING, VOLS 1-3, P1040, DOI 10.1109/ICCIE.2009.5223923.;KARP RM., 1972, COMPLEXITY COMPUTER, P85, DOI DOI 10.1007/978-1-4684-2001-2\_9.;LACOMME P., 2002, P 9 INT C INF PROC M, P845.;LAPORTE G, 1997, COMPUT OPER RES, V24, P1057, DOI 10.1016/S0305-0548(97)00013-0.;LETCHFORD A. N., 1997, THESIS.;LETCHFORD AN, 1998, EUR J OPER RES, V105, P390, DOI 10.1016/S0377-2217(97)00090-8.;LONGO H, 2006, COMPUT OPER RES, V33, P1823, DOI 10.1016/J.COR.2004.11.020.;NESETRIL J., 2012, SPARSITY GRAPHS STRU.;OUKIL A., 2008, THESIS.;PADBERG M, 1990, MATH PROGRAM, V47, P219, DOI 10.1007/BF01580861.;PADBERG M, 1987, OPER RES LETT, V6, P1, DOI 10.1016/0167-6377(87)90002-2.;PADBERG M, 1991, SIAM REV, V33, P60, DOI 10.1137/1033004.;PADBERG MW, 1982, MATH OPER RES, V7, P67, DOI 10.1287/MOOR.7.1.67.;PEARN WL, 1987, COMPUT OPER RES, V14, P285, DOI 10.1016/0305-0548(87)90065-7.;PEARN WL, 1994, OPER RES LETT, V16, P241, DOI 10.1016/0167-6377(94)90073-6.;SARUWATARI Y, 1992, J OPER RES SOC JPN, V35, P119, DOI 10.15807/JORSJ.35.119.;SBIHI A, 2010, EUR J OPER RES, V202, P339, DOI 10.1016/J.EJOR.2009.05.033.;SKIENA S., 1990, LINE GRAPH 4 1 5 IMP, P[128, 135].;SNIEZEK J. S., 2001, THESIS.;TFAILI S., 2017, THESIS.;TFAILI S., 2016, WORKING PAPER.;VANROOIJ AC, 1965, ACTA MATH ACAD SCI H, V16, P263.;WELZ S. A., 1994, THESIS.;WEST D. B., 2000, INTRO GRAPH THEORY, P279.;WOHLK S., 2005, THESIS.","10.1051/RO/2018087","303-322","EDP SCIENCES S A","2019","ISI000460376000016","1","HN7MX","UNIV LE HAVRE NORMANDIE;BREST BUSINESS SCH;UNIV LE HAVRE NORMANDIE","UNIV LE HAVRE NORMANDIE","TFAILI S, 2019, RAIRO-OPER RES","TFAILI S, 2019, RAIRO-OPER RES"
"MOFID-NAKHAEE E, 2019, WASTE MANAGE RES","MOFID NAKHAEE E;BARZINPOUR F","A MULTI-COMPARTMENT CAPACITATED ARC ROUTING PROBLEM WITH INTERMEDIATE FACILITIES FOR SOLID WASTE COLLECTION USING HYBRID ADAPTIVE LARGE NEIGHBORHOOD SEARCH AND WHALE ALGORITHM","WASTE MANAGEMENT \& RESEARCH","WASTE MANAGE. RES.","ARC ROUTING PROBLEM; MULTI-COMPARTMENT VEHICLE; ADAPTIVE LARGE NEIGHBORHOOD SEARCH; WHALE OPTIMIZATION ALGORITHM; SEPARATION OF WASTE; MUNICIPAL SOLID WASTE","ARTICLE","0","ABDULKADER MMS, 2015, APPL SOFT COMPUT, V37, P196, DOI 10.1016/J.ASOC.2015.08.020.;AMPONSAH SK, 2004, WASTE MANAGE, V24, P711, DOI 10.1016/J.WASMAN.2004.01.008.;BABAYEMI J. O., 2009, JOURNAL OF APPLIED SCIENCES AND ENVIRONMENTAL MANAGEMENT, V13, P83.;BAIOCCHI V, 2014, WASTE MANAGE RES, V32, P707, DOI 10.1177/0734242X14545642.;BAUTISTA J, 2008, COMPUT OPER RES, V35, P3020, DOI 10.1016/J.COR.2007.01.029.;BELENGUER JM, 2006, COMPUT OPER RES, V33, P3363, DOI 10.1016/J.COR.2005.02.009.;BELENGUER JM, 2010, TRANSPORT SCI, V44, P206, DOI 10.1287/TRSC.1090.0305.;BING XY, 2016, WASTE MANAGE, V48, P584, DOI 10.1016/J.WASMAN.2015.11.025.;CHARNPRATHEEP K, 1997, WASTE MANAGE RES, V15, P197, DOI 10.1177/0734242X9701500207.;CHEN YN, 2016, EUR J OPER RES, V253, P25, DOI 10.1016/J.EJOR.2016.02.015.;CHU F, 2005, J INTELL MANUF, V16, P243, DOI 10.1007/S10845-004-5892-8.;COELHO LC, 2012, TRANSPORT RES C-EMER, V24, P270, DOI 10.1016/J.TRC.2012.03.007.;COELHO LC, 2012, COMPUT OPER RES, V39, P2537, DOI 10.1016/J.COR.2011.12.020.;ERIKSSON O, 2003, WASTE MANAGE RES, V21, P488, DOI 10.1177/0734242X0302100602.;FLEURY G, 2005, J OPER RES SOC, V56, P526, DOI 10.1057/PALGRAVE.JORS.2601822.;GHIANI G., 2005, INTERNATIONAL TRANSACTIONS IN OPERATIONAL RESEARCH, V12, P135, DOI 10.1111/J.1475-3995.2005.00494.X.;GHIANI G, 2001, NETWORKS, V37, P134, DOI 10.1002/NET.3.;GHIANI G., 2004, J MATH MODELLING ALG, V3, P209, DOI [10.1023/B:JMMA.0000038618.37710.F8., DOI 10.1023/B:JMMA.0000038618.37710.F8].;GOLDEN BL, 1981, NETWORKS, V11, P305, DOI 10.1002/NET.3230110308.;HOORNWEG D., 2012, WHAT WASTE GLOBAL RE.;KANSOU ALI, 2010, INTERNATIONAL JOURNAL OF METAHEURISTICS, V1, P81, DOI 10.1504/IJMHEUR.2010.033124.;KAO JJ, 1997, WASTE MANAGE RES, V15, P239, DOI 10.1177/0734242X9701500303.;KONTOS TD, 2005, WASTE MANAGE RES, V21, P262.;LACOMME P, 2006, COMPUT OPER RES, V33, P3473, DOI 10.1016/J.COR.2005.02.017.;LACOMME P, 2005, EUR J OPER RES, V165, P535, DOI 10.1016/J.EJOR.2004.04.021.;LAPORTE G, 2010, TRANSPORT SCI, V44, P125, DOI 10.1287/TRSC.1090.0290.;LIU TT, 2014, FLEX SERV MANUF J, V26, P540, DOI 10.1007/S10696-012-9166-Z.;MEI Y, 2011, IEEE T EVOLUT COMPUT, V15, P151, DOI 10.1109/TEVC.2010.2051446.;MIRJALILI S, 2016, ADV ENG SOFTW, V95, P51, DOI 10.1016/J.ADVENGSOFT.2016.01.008.;MONROY IM, 2013, DISCRETE APPL MATH, V161, P691, DOI 10.1016/J.DAM.2011.05.014.;MUYLDERMANS L, 2010, COMPUT OPER RES, V37, P1662, DOI 10.1016/J.COR.2009.12.014.;POLACEK M, 2008, J HEURISTICS, V14, P405, DOI 10.1007/S10732-007-9050-2.;REED M, 2014, APPL SOFT COMPUT, V15, P169, DOI 10.1016/J.ASOC.2013.10.017.;RIQUELME-RODRIGUEZ JP, 2014, J OPER RES SOC, V65, P1840, DOI 10.1057/JORS.2013.159.;ROCHA E, 2016, DISSERTATION REQUIRE.;ROPKE S, 2006, TRANSPORT SCI, V40, P455, DOI 10.1287/TRSC.1050.0135.;SALAZAR-AGUILAR MA, 2012, COMPUT OPER RES, V39, P1432, DOI 10.1016/J.COR.2011.08.014.;SHANG RH, 2016, APPL SOFT COMPUT, V49, P748, DOI 10.1016/J.ASOC.2016.09.005.;SHANG RH, 2016, IEEE T CYBERNETICS, V46, P1000, DOI 10.1109/TCYB.2015.2419276.;SHANG RH, 2014, INFORM SCIENCES, V277, P609, DOI 10.1016/J.INS.2014.03.008.;TANG K, 2017, IEEE T CYBERNETICS, V47, P3928, DOI 10.1109/TCYB.2016.2590558.;TAVARES G, 2009, WASTE MANAGE, V29, P1176, DOI 10.1016/J.WASMAN.2008.07.013.;VECCHI TPB, 2016, PROCESS SAF ENVIRON, V102, P238, DOI 10.1016/J.PSEP.2016.03.014.;WANG J, 2016, IEEE T EVOLUT COMPUT, V20, P96, DOI 10.1109/TEVC.2015.2428616.;WANG ZR, 2015, APPL SOFT COMPUT, V37, P572, DOI 10.1016/J.ASOC.2015.08.003.;WILLEMSE EJ, 2016, OPER RES LETT, V44, P569, DOI 10.1016/J.ORL.2016.06.001.;WILLEMSE EJ, 2016, DATA BRIEF, V8, P972, DOI 10.1016/J.DIB.2016.06.067.;WILLEMSE EJ, 2016, COMPUT OPER RES, V68, P30, DOI 10.1016/J.COR.2015.10.010.;WORLD BANK, 2014, WORLD BANK URB DEV S.;XING LN, 2011, IEEE T SYST MAN CY B, V41, P1110, DOI 10.1109/TSMCB.2011.2107899.;XING LN, 2010, IEEE T EVOLUT COMPUT, V14, P356, DOI 10.1109/TEVC.2009.2033578.","10.1177/0734242X18801186","38-47","SAGE PUBLICATIONS LTD","2019","ISI000455388900005","12","HH0FJ","IRAN UNIV SCI AND TECHNOL","IRAN UNIV SCI AND TECHNOL","MOFID-NAKHAEE E, 2019, WASTE MANAGE RES","MOFID-NAKHAEE E, 2019, WASTE MANAGE RES"
