PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	EY	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Avila, Thais; Corberan, Angel; Plana, Isaac; Sanchis, Jose M.					Corberan, Angel/0000-0002-0664-4232			Formulations and exact algorithms for the distance-constrained generalized directed rural postman problem								EURO JOURNAL ON COMPUTATIONAL OPTIMIZATION				5	3			339	365		10.1007/s13675-015-0053-8					SEP 2017	2017																		2192-4406	2192-4414		WOS:000407580000002		
J	Avila, Thais; Corberan, Angel; Plana, Isaac; Sanchis, Jose M.				SANCHIS, JOSE M/H-5912-2015	SANCHIS, JOSE M/0000-0002-0039-8122			A branch-and-cut algorithm for the profitable windy rural postman problem								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				249	3			1092	1101		10.1016/j.ejor.2015.10.016					MAR 16 2016	2016																		0377-2217	1872-6860		WOS:000370463500027		
J	Avila, Thais; Corberan, Angel; Plana, Isaac; Sanchis, Jose M.				Plana, Isaac/H-6656-2015; SANCHIS, JOSE M/H-5912-2015; Corberan, Angel/K-2435-2014	Plana, Isaac/0000-0002-0516-4608; SANCHIS, JOSE M/0000-0002-0039-8122; Corberan, Angel/0000-0002-0664-4232			The Stacker Crane Problem and the Directed General Routing Problem								NETWORKS				65	1			43	55		10.1002/net.21591					JAN 2015	2015																		0028-3045	1097-0037		WOS:000348763600004		
J	Avila, Thais; Corberan, Angel; Plana, Isaac; Sanchis, Jose M.				SANCHIS, JOSE M/H-5912-2015; Penarrocha-Diago, Miguel/G-1217-2016	SANCHIS, JOSE M/0000-0002-0039-8122; Penarrocha-Diago, Miguel/0000-0002-8407-7982; Corberan, Angel/0000-0002-0664-4232			A New Branch-and-Cut Algorithm for the Generalized Directed Rural Postman Problem								TRANSPORTATION SCIENCE				50	2	SI		750	761		10.1287/trsc.2015.0588					MAY 2016	2016																		0041-1655			WOS:000375656200024		
J	Bach, Lukas; Hasle, Geir; Wohlk, Sanne					Wohlk, Sanne/0000-0003-3847-7528; Hasle, Geir/0000-0003-0546-2792			A lower bound for the Node, Edge, and Arc Routing Problem								COMPUTERS & OPERATIONS RESEARCH				40	4			943	952		10.1016/j.cor.2012.11.014					APR 2013	2013																		0305-0548	1873-765X		WOS:000314483400005		
J	Bach, Lukas; Lysgaard, Jens; Wohlk, Sanne					Wohlk, Sanne/0000-0003-3847-7528			A Branch-and-Cut-and-Price Algorithm for the Mixed Capacitated General Routing Problem								NETWORKS				68	3			161	184		10.1002/net.21690					OCT 2016	2016																		0028-3045	1097-0037		WOS:000388289300001		
J	Bartolini, Enrico; Cordeau, Jean-Francois; Laporte, Gilbert								Improved lower bounds and exact algorithm for the capacitated arc routing problem								MATHEMATICAL PROGRAMMING				137	1-2			409	452		10.1007/s10107-011-0497-4					FEB 2013	2013																		0025-5610			WOS:000313797100016		
J	Bartolini, Enrico; Cordeau, Jean-Francois; Laporte, Gilbert								An Exact Algorithm for the Capacitated Arc Routing Problem with Deadheading Demand								OPERATIONS RESEARCH				61	2			315	327		10.1287/opre.1120.1154					MAR-APR 2013	2013																		0030-364X			WOS:000317699600004		
J	Belenguer, Jose-Manuel; Benavent, Enrique; Labadi, Nacima; Prins, Christian; Reghioui, Mohamed				Benavent, Enrique/H-5884-2015; Belenguer, Jose Manuel/L-3049-2014	Belenguer, Jose Manuel/0000-0002-4604-2789			Split-Delivery Capacitated Arc-Routing Problem: Lower Bound and Metaheuristic								TRANSPORTATION SCIENCE				44	2			206	220		10.1287/trsc.1090.0305					MAY 2010	2010																		0041-1655			WOS:000277615400005		
J	Belien, Jeroen; De Boeck, Liesje; Van Ackere, Jonas				Belien, Jeroen/G-7143-2018	Belien, Jeroen/0000-0003-2349-7390; De Boeck, Liesje/0000-0001-7398-8548			Municipal Solid Waste Collection and Management Problems: A Literature Review								TRANSPORTATION SCIENCE				48	1			78	102		10.1287/trsc.1120.0448					FEB 2014	2014																		0041-1655			WOS:000331076100005		
