PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	EY	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
S	Ahr, D; Reinelt, G						Mohring, R; Raman, R		New heuristics and lower bounds for the min-max k-Chinese Postman Problem								ALGORITHMS-ESA 2002, PROCEEDINGS		Lecture Notes in Computer Science		2461				64	74							2002	2002						10th Annual European Symposium on Algorithms (ESA 2002)10th Annual European Symposium on Algorithms (ESA 2002)	SEP 17-21, 2002SEP 17-21, 2002	European Assoc Theoret Comp SciEuropean Assoc Theoret Comp Sci	UNIV ROME, ROME, ITALYUNIV ROME, ROME, ITALY									0302-9743		3-540-44180-8	WOS:000181470400006		
J	Ahr, Dino; Reinelt, Gerhard								A tabu search algorithm for the min-max k-Chinese postman problem								COMPUTERS & OPERATIONS RESEARCH				33	12			3403	3422		10.1016/j.cor.2005.02.011					DEC 2006	2006																		0305-0548	1873-765X		WOS:000238606300004		
J	Amaya, Alberto; Langevin, Andre; Trepanier, Martin				Langevin, Andre/L-6176-2019; Amaya, Ciro-Alberto/B-3536-2008	Amaya, Ciro-Alberto/0000-0003-1537-1616			The capacitated arc routing problem with refill points								OPERATIONS RESEARCH LETTERS				35	1			45	53		10.1016/j.orl.2005.12.009					JAN 2007	2007																		0167-6377			WOS:000244488300007		
J	Amberg, A; Domschke, W; Voss, S				VoSS, Stefan/K-6655-2019	VoSS, Stefan/0000-0003-1296-4221			Multiple center capacitated arc routing problems: A tabu search algorithm using capacitated trees								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				124	2			360	376		10.1016/S0377-2217(99)00170-8					JUL 16 2000	2000																		0377-2217	1872-6860		WOS:000087269900013		
J	Aminu, U. F.; Eglese, R. W.					Eglese, Richard William/0000-0003-2781-9828			A constraint programming approach to the Chinese postman problem with time windows								COMPUTERS & OPERATIONS RESEARCH				33	12			3423	3431		10.1016/j.cor.2005.02.012					DEC 2006	2006																		0305-0548	1873-765X		WOS:000238606300005		
J	Amponsah, SK; Salhi, S								The investigation of a class of capacitated arc routing problems: the collection of garbage in developing countries								WASTE MANAGEMENT				24	7			711	721		10.1016/j.wasman.2004.01.008					2004	2004																		0956-053X			WOS:000223466100009	15288303	
J	Araoz, Julian; Fernandez, Elena; Zoltan, Cristina				Fernandez, Elena/E-1799-2012	Fernandez, Elena/0000-0003-4714-0257			Privatized rural postman problems								COMPUTERS & OPERATIONS RESEARCH				33	12			3432	3449		10.1016/j.cor.2005.02.013					DEC 2006	2006																		0305-0548	1873-765X		WOS:000238606300006		
J	Araoz, Julian; Fernandez, Elena; Meza, Oscar				Fernandez, Elena/E-1799-2012	Fernandez, Elena/0000-0003-4714-0257			Solving the Prize-collecting Rural Postman Problem								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				196	3			886	896		10.1016/j.ejor.2008.04.037					AUG 1 2009	2009																		0377-2217	1872-6860		WOS:000263817600005		
J	Assad, Arjang A.								Leonhard Euler: A brief appreciation								NETWORKS				49	3			190	198		10.1002/net.20158					MAY 2007	2007																		0028-3045			WOS:000245635200002		
J	Baldacci, R; Maniezzo, V					maniezzo, vittorio/0000-0002-1220-1235; BALDACCI, ROBERTO/0000-0003-0938-5798			Exact methods based on node-routing formulations for undirected Arc-Routing Problems								NETWORKS				47	1			52	60		10.1002/NET.20091					JAN 2006	2006																		0028-3045			WOS:000234527100005		
