"x","n_extensions","Closest variant","Mixed"
"Sectoring Mixed Capacitated Arc Routing Problem with Intermediate Facilities","3","Sectoring Mixed Capacitated Arc Routing Problem","1"
"Sectoring Mixed Capacitated Arc Routing Problem with Intermediate Facilities","","Mixed Capacitated Arc Routing Problem with Intermediate Facilities","1"
"Semi-periodic Capacitated Arc Routing Problem","1","Capacitated Arc Routing Problem","0"
"Multi-compartment Capacitated Arc Routing Problem","1","Capacitated Arc Routing Problem","0"
"Periodic Multi-compartment Capacitated Arc Routing Problem","2","Periodic Capacitated Arc Routing Problem","0"
"Periodic Multi-compartment Capacitated Arc Routing Problem","","Multi-compartment Capacitated Arc Routing Problem","0"
"Split-Delivery Capacitated Arc Routing Problem","1","Capacitated Arc Routing Problem","0"
"Time Capacitated Arc Routing Problem","1","Capacitated Arc Routing Problem","0"
"Variable Fleet size and Depot Location Mixed Capacitated Arc Routing Problem","3","Variable Fleet size Mixed Capacitated Arc Routing Problem","1"
"Variable Fleet size and Depot Location Mixed Capacitated Arc Routing Problem","","Variable Depot Location Mixed Capacitated Arc Routing Problem","1"
"Windy Capacitated Arc Routing Problem","1","Capacitated Arc Routing Problem","0"
