"year_cite","journal_cite","journal_final","max_score","journal"
"2011"," LECT NOTES COMPUT SC","LECTURE NOTES IN COMPUTER SCIENCE","75"," EXPERIMENTAL ALGORITHMS"
"2003"," LECT NOTES COMPUT SC","LECTURE NOTES IN COMPUTER SCIENCE","75"," EVOLUTIONARY MULTI-CRITERION OPTIMIZATION, PROCEEDINGS"
"2001"," LECT NOTES COMPUT SC","LECTURE NOTES IN COMPUTER SCIENCE","75"," APPLICATIONS OF EVOLUTIONARY COMPUTING, PROCEEDINGS"
"2001"," APPL EVOLUTIONARY CO","LECTURE NOTES IN COMPUTER SCIENCE","75"," APPLICATIONS OF EVOLUTIONARY COMPUTING, PROCEEDINGS"
"2005"," GRAPH THEORY COMBINA"," GRAPH THEORY, COMBINATORICS AND ALGORITHMS: INTERDISCIPLINARY APPLICATIONS","75"," GRAPH THEORY, COMBINATORICS AND ALGORITHMS: INTERDISCIPLINARY APPLICATIONS"
"2010"," LECT NOTES COMPUT SC","LECTURE NOTES IN COMPUTER SCIENCE","75"," EXPERIMENTAL ALGORITHMS, PROCEEDINGS"
"2004"," LECT NOTES COMPUT SC","LECTURE NOTES IN COMPUTER SCIENCE","75"," APPLICATIONS OF EVOLUTIONARY COMPUTING"
"2014"," LECT NOTES COMPUT SC","LECTURE NOTES IN COMPUTER SCIENCE","75"," SIMULATED EVOLUTION AND LEARNING (SEAL 2014)"
"2010"," EUR J OPER RES"," COMPUT OPER RES","73"," COMPUT OPER RES"
"2001"," TRANSPORT RES REC","TRANSPORTATION RESEARCH RECORD","72"," TRANSPORTATION NETWORK MODELING 2001: PLANNING AND ADMINIATRATION"
"2013"," TRANSPORT RES E-LOG"," TRANSP RES PT E-LOGIST TRANSP REV","71"," TRANSP RES PT E-LOGIST TRANSP REV"
"2011"," COMPUTERS OPERATIONS"," COMPUT OPER RES","69"," COMPUT OPER RES"
"2011"," TRANSPORT RES C-EMER"," TRANSP RES PT C-EMERG TECHNOL","69"," TRANSP RES PT C-EMERG TECHNOL"
"2014"," TRANSPORT RES C-EMER"," TRANSP RES PT C-EMERG TECHNOL","69"," TRANSP RES PT C-EMERG TECHNOL"
"2006"," COMPUTERS OPERATIONS"," COMPUT OPER RES","69"," COMPUT OPER RES"
"2003"," COMPUTERS OPERATIONS"," COMPUT OPER RES","69"," COMPUT OPER RES"
"2008"," COMPUTERS OPERATIONS"," COMPUT OPER RES","69"," COMPUT OPER RES"
"2015"," MEMET COMPUT"," IEEE TRANS EVOL COMPUT","67"," IEEE TRANS EVOL COMPUT"
